Gene pos.pvalue pos.fdr neg.pvalue neg.fdr
51 PSMA3 0.999999991704289 1 5.78049528967561e-05 0.000183561619673545
52 PSMB2 1 1 0 0
53 PSMB3 0.999974250257188 1 0.0128018883260889 0.0305275798545196
54 PSMC1 0.999999999999998 1 1.56299972964291e-10 9.69059832378605e-10
55 PSMC2 0.999999999955946 1 9.61028568724487e-07 3.88589812571206e-06
56 PSMC4 0.999999999975153 1 7.48201848921326e-07 3.16285327044015e-06
57 PSMD1 0.999996190968564 1 0.00385823776553929 0.0102518889198615
58 PSMD11 0.999999999999858 1 1.04023399893904e-08 5.37454232785173e-08
59 PSMD6 0.999999999997725 1 1.1859752468979e-07 5.80503673481602e-07
60 PSMD7 1 1 1.5745182935234e-12 1.22025167748063e-11
61 RNASE9 0.00436404016027614 0.0106804140764653 0.999982469024837 1
62 RPL11 1 1 0 0
63 RPL18A 1 1 1.02473585172902e-13 8.66367583734535e-13
64 RPL27 0.995812642869477 1 0.208841450303221 0.441414883595445
65 RPL3 0.999958090330785 1 0.0169697854780336 0.0394547512364282
66 RPL30 0.999875393935805 1 0.0327053675099609 0.0724190280577705
67 RPL34 1 1 0 0
68 RPL35A 1 1 0 0
69 RPL36 0.999999999999999 1 2.69488209525548e-10 1.56640021786725e-09
70 RPL5 0.999994776280235 1 0.00425778643517138 0.0109992816241927
71 RPL6 0.99999999997344 1 1.39217813166503e-07 6.47362831224241e-07
72 RPL9 0.999999991955971 1 5.35345280585631e-05 0.000177811111051656
73 RPS11 0.999999795131453 1 0.00054012221986488 0.00152216261961921
74 RPS13 1 1 0 0
75 RPS19 1 1 0 0
76 RPS24 0.991909440713983 1 0.266612042736693 0.550998221655831
77 RPS27 0.99999498619227 1 0.00450862612703229 0.0113324926976758
78 RPS3A 0.999999999964063 1 1.00383963164141e-06 3.88987857261047e-06
79 RPS7 0.873505291181621 1 0.741945476258085 1
80 RPS8 1 1 0 0
81 RPS9 1 1 0 0
82 RPTN 0.000422858340755838 0.0013108608563431 0.99999935093767 1
83 RXFP2 4.17093400573165e-06 1.55158745013217e-05 0.999999999122194 1
84 SAGE1 0 0 0.999999999999995 1
85 SPATA16 0.00066075436394164 0.00198226309182492 0.999999373855896 1
86 TAAR1 0 0 1 1
87 TAAR8 1.94588789526051e-12 1.80967574259228e-11 1 1
88 TAS2R13 2.6088135540725e-08 1.51637287830464e-07 0.99999999999771 1
89 TAS2R9 0 0 0.999999999998924 1
90 TGM6 0 0 1 1
91 TPH2 0.00416871394169704 0.0106804140764653 0.999992725793873 1
92 TRIM42 7.70850905662535e-07 3.41376829650551e-06 0.999999999737235 1
93 VN1R2 2.5033308759248e-12 2.11645246782733e-11 1 1
