Gene pos.pvalue pos.fdr neg.pvalue neg.fdr
47 POLR2A 0.999999998370259 1 1.50215598622161e-05 5.58802026874439e-05
48 POLR2D 1 1 0 0
49 POLR2F 0.999999990067383 1 6.06026299971862e-05 0.000201287306776369
50 POU4F2 0 0 0.999999999999998 1
51 PSMA3 0.99999999849351 1 1.31473590450071e-05 5.09460162994024e-05
52 PSMB2 1 1 0 0
53 PSMB3 0.998181964272341 1 0.107765359519466 0.238623296078817
54 PSMC1 0.999999999996764 1 1.6035411243287e-07 7.84891181908258e-07
55 PSMC2 0.999999999467893 1 7.66687298692226e-06 3.10008342514683e-05
56 PSMC4 0.999999988261076 1 5.91528633958616e-05 0.000201287306776369
57 PSMD1 0.999999975821744 1 0.00010516135884564 0.000326000212421484
58 PSMD11 0.999999999999999 1 0 0
59 PSMD6 0.999999999992411 1 1.46270466738763e-07 7.5573074481694e-07
60 PSMD7 1 1 0 0
61 RNASE9 0.0849941971806905 0.213634063183898 0.999050322376375 1
62 RPL11 1 1 0 0
63 RPL18A 1 1 1.57390767085985e-11 9.1483383368729e-11
64 RPL27 0.859362925827129 1 0.722228122173007 1
65 RPL3 0.999936207964379 1 0.0205766223526795 0.0490673302256204
66 RPL30 0.999980229644451 1 0.010759486835498 0.0270441155594949
67 RPL34 1 1 0 0
68 RPL35A 1 1 0 0
69 RPL36 1 1 3.38262751142793e-12 2.09722905708531e-11
70 RPL5 0.999875675878951 1 0.031846505704538 0.072237195866391
71 RPL6 0.999999999941175 1 3.05523999988289e-07 1.42068659994554e-06
72 RPL9 0.999999999989527 1 3.77886326341503e-07 1.6734965880838e-06
73 RPS11 0.999999387404374 1 0.0010194578320214 0.00296279932431219
74 RPS13 1 1 0 0
75 RPS19 1 1 0 0
76 RPS24 0.324976318151155 0.737141404586767 0.987025967131791 1
77 RPS27 0.999991473941148 1 0.00606172159955587 0.0156594474655193
78 RPS3A 0.999998331243507 1 0.00125343483688045 0.003428512936173
79 RPS7 0.579013266163001 1 0.912079897171511 1
80 RPS8 1 1 0 0
81 RPS9 1 1 0 0
82 RPTN 0.0841716695113922 0.213634063183898 0.999116842386109 1
83 RXFP2 3.54298381077811e-07 1.73419733895981e-06 0.999999999954082 1
84 SAGE1 6.30819271374428e-07 2.93330961189109e-06 0.999999999921617 1
85 SPATA16 0 0 0.999999999999982 1
86 TAAR1 1.79717608017604e-07 9.28540974757623e-07 0.999999999203188 1
87 TAAR8 6.48149756088401e-10 4.63676363970933e-09 0.999999999999824 1
88 TAS2R13 6.35899965970577e-05 0.000227456526289475 0.999999928593628 1
89 TAS2R9 0 0 1 1
90 TGM6 5.70374876285307e-06 2.52594588069207e-05 0.999999998348689 1
91 TPH2 0.146794022719214 0.359259055602287 0.984861582611549 1
92 TRIM42 0 0 1 1
93 VN1R2 0 0 1 1
